---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnV
data,C,BC,-5.35346091513821,-6.36138967920424
data,C,BC,-7.39396715100182,-8.65456778893785
data,C,BC,-7.09188564771229,-7.91522321983432
data,CD,DE,-6.77909079872708,-7.25281756557252
data,CD,DE,-5.73437330858122,-6.88240002377074
data,D,DE,-5.2784523287559,-6.31716257879902
data,C,BC,-6.02925309940647,-7.26559724652298
data,C,BC,-6.50088708408757,-7.54244451336853
data,CD,DE,-8.7364046273591,-9.70184940906944
data,C,BC,-3.38049121588834,-4.01594314475618
data,CD,DE,-4.83480112650537,-5.76122848393582
data,C,BC,-7.80693955100548,-8.90537146991012
data,D,DE,-7.7693927226592,-8.37371131703932
data,D,DE,-4.34385842414755,-3.36820981213709
data,D,DE,-4.15989643093445,-3.48943043995478
data,C,BC,-2.9941569250814,-2.76792006007603
data,D,DE,-4.39585034731631,-3.35622055646042
data,D,DE,-2.88237437717313,-2.98272853863599
data,C,BC,-2.54122606164662,-3.13593040070169
data,C,DE,-3.80995042983299,-4.82243643499861
data,D,DE,-5.06039308655757,-4.64570284116542
data,C,DE,-4.21330677848156,-3.93077677179517
data,B,BC,-4.92275823348015,-4.68952668624836
data,C,BC,-1.43036518931858,-1.5120099613604
data,D,DE,-3.64911909115829,-3.27609119192664
data,C,DE,-5.85292167240799,-7.18207919000805
data,C,BC,-2.18497825026673,-0.755673567514206
data,D,DE,-3.85205223272279,-3.86944615572512
data,C,BC,-2.15823297130937,-0.876836549804081
data,C,BC,-2.11311980480385,-1.66977462332481
data,C,BC,-2.68440618288753,-2.61230182871768
data,C,DE,-2.56314062706371,-2.75933853787201
data,D,DE,-3.82437502100572,-4.51597310611263
data,D,DE,-3.3180364460911,-4.26234066235044
data,D,DE,-3.88957937867933,-4.54467900378909
data,D,DE,-2.519155251157,-2.62201148257103
data,D,DE,-3.42698130982151,-3.96618512604506
data,E,DE,-4.9776156595799,-4.67043216982487
data,C,DE,-1.66889866404477,-1.72850485943975
data,B,AB,-1.44885263120031,-1.10901897936903
data,D,DE,-2.92255401828495,-3.27049600993385
data,D,DE,-1.98093406353537,-2.23691062259816
data,D,DE,-4.38324838087266,-4.38040067540381
data,C,BC,-2.64835391157007,-3.67491950606616
data,D,DE,-4.0213154482652,-3.4577246875949
data,D,DE,-3.64561159113287,-2.91543060744984
data,C,DE,-2.25839969079421,-2.71435570680022
data,D,DE,-2.49997404490721,-2.77054716621157
data,D,DE,-2.55900887658112,-2.65665126932529
data,C,BC,-5.26191135034731,-6.28003447745855
data,D,DE,-3.27222209580329,-2.70940045966012
data,C,BC,-4.01368269732194,-5.19500337726888
data,D,DE,-4.48969487217887,-4.18369729687096
data,C,BC,-4.27956813637167,-5.10547533611595
data,C,DE,-1.87710913652932,-1.47888892711737
data,D,DE,-4.61048837528148,-4.90215050727075
data,C,BC,-2.48340185454894,-2.19263869930248
