---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: LnA
    type: numeric
  - name: A
    type: numeric
  - name: LnC
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,LnA,A,LnC
data,D,-1.97723124421291,7.22271733446763,-2.74251408447958
data,C,-4.2258493162799,68.4325997951038,-6.68889756155196
data,C,-2.68124929965525,14.6033258344878,-3.00387856616908
data,C,-2.17128537775447,8.76954898251596,-3.80763544682825
data,C,-3.20407199988831,24.6326303228677,-3.9561615817821
data,C,-3.98580933726826,53.8288375373048,-5.0540660581555
data,D,-2.39396831276228,10.9568881442726,-4.69834818490437
data,C,-4.8636139312796,129.491330283353,-8.48046724142207
data,C,-4.59102615424986,98.5955525147372,-8.36022810013413
data,C,-2.64141894266702,14.0331016539891,-3.67856816968283
data,C,-4.34978208336063,77.4615809184985,-6.10200957189395
data,C,-3.50975358039676,33.4400264905183,-4.46905150386564
data,D,-3.44124674693284,31.2258646609861,-3.56394445663686
data,C,-4.91899240146049,136.864639076442,-7.53798463329018
data,C,-4.12960480518685,62.1533553969264,-5.40752184219481
data,D,-3.73469333546865,41.8751819608137,-4.23493460676022
data,D,-4.83101445732768,125.338046281881,-6.0393468867515
data,D,-3.79038555674917,44.2734669196722,-4.97421958414719
data,C,-2.7509103807185,15.656879118862,-3.39351171756148
data,C,-2.78830608230192,16.2534644390505,-3.1765352364287
data,D,-4.85176108345553,127.965549537501,-6.95990773935156
data,D,-3.6356007291014,37.9246284834685,-5.04768961886331
data,C,-3.68381179675484,39.7978064621347,-4.96595182740864
data,C,-2.59225719317321,13.3598934552893,-3.67270968295031
data,C,-3.57833409105023,35.8138285457441,-4.3523721772589
data,C,-3.40505201090739,30.115862036496,-5.88655567654135
data,D,-4.52902639202214,92.6682945562628,-6.75587851490141
data,C,-4.3971301444465,81.2174515341204,-6.31072017869473
data,D,-4.96472695599041,143.269426073727,-7.78561006487112
data,C,-3.23804301244998,25.4838014344337,-3.25324455422679
data,C,-3.87975122679553,48.4121699225052,-4.59319570976329
data,C,-3.32942978441068,27.9224153664119,-4.81269100522664
data,D,-4.01707619397737,55.5384844506411,-7.21094699870556
data,D,-3.27259598370911,26.3797318861206,-3.49033082780685
data,C,-3.9696428103566,52.9656086935982,-5.50610531572328
data,D,-2.51150208882413,12.3234270470165,-4.17945137831377
data,D,-3.83218351114327,46.1632261863646,-5.73441404411516
data,D,-1.09250238549847,2.98172617299604,-1.83238588060815
data,C,-4.94006243521285,139.778976417713,-8.23708172313101
data,D,-3.34085708891113,28.2433233738563,-3.64343149978852
data,D,-1.85240725081455,6.37514764524381,-2.20725436019797
data,C,-3.03461845356008,20.7930428742979,-3.43183107770614
data,D,-2.75161625708255,15.6679348412943,-3.77090246717215
data,C,-3.84913544574124,46.9524527361481,-5.31103584441902
data,D,-3.61034327050687,36.9787443486993,-3.20600277374215
data,C,-4.02787019498806,56.1412139875352,-6.58520585743128
data,C,-4.26139317732203,70.9087030683945,-6.10525299493596
data,C,-3.46358003145786,31.9310864281489,-4.39224110828821
data,C,-4.52416685357299,92.219061831754,-6.78401357392164
data,C,-3.95304554285986,52.0937793240382,-6.32323741004997
data,C,-2.21192768965344,9.13330561304683,-3.09715805722931
data,C,-3.14610798752094,23.2454168418732,-5.22372201025261
data,E,-4.00616739711497,54.9359190132217,-4.53755304825709
data,D,-4.03385411839853,56.4781658538429,-5.644635685558
data,D,-2.26753323670184,9.6555534483922,-2.84052962703025
data,D,-2.54601213948217,12.7561325397936,-2.92112553900633
data,C,-3.49723731777231,33.0240907472107,-4.60443964984696
data,D,-2.5678052135748,13.0371791934167,-4.71249015177942
data,C,-3.26374315792634,26.1472273949086,-3.65750289720013
data,C,-4.0517880450194,57.500178090201,-5.28946529479253
data,C,-3.72786327164997,41.5901463095167,-4.78143953640471
data,C,-3.5503919208916,34.8269642280781,-4.09680788789317
data,D,-4.12190530323943,61.6766430947073,-6.31783557414565
data,D,-3.17540096306553,23.9364155630491,-3.51926030437576
data,C,-4.32827061397866,75.8130630823309,-5.94964039361479
data,D,-4.44352529050982,85.074325368376,-5.64144786991292
data,D,-5.07664634719995,160.235778667788,-8.25137095765157
data,C,-3.62417995577814,37.4939638409215,-5.27974449770831
data,C,-3.49179351220456,32.8448024661697,-3.84702973870402
data,D,-4.29742714018576,73.5104181848603,-4.15945772751421
data,C,-2.61624069182685,13.6841837049851,-4.98415778852485
data,C,-4.59238342825635,98.7294645524267,-5.79597702108377
data,D,-1.75589845942472,5.78864627007152,-2.23523913281694
data,C,-2.54187651591531,12.7034869137208,-2.3405047834612
data,C,-2.74642241364535,15.5867690045295,-3.9617905662009
data,B,-4.85939573808487,128.946261246634,-8.64539738014086
data,D,-2.73875819575476,15.4677652286278,-3.14457613110065
data,C,-2.8608465286431,17.4763148776087,-3.28728429617305
data,D,-2.71491956790351,15.1033952252976,-2.99017932443765
