---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnARMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnARMS
data,D,DE,-3.90179345570873,-5.19359779230931
data,C,DE,-4.08824895276453,-5.47232884918054
data,C,DE,-2.80456561741085,-4.58071411475111
data,D,DE,-2.57965862389921,-4.20798980725538
data,C,BC,-2.3986584284769,-3.92665901367114
data,C,BC,-4.3165321808921,-6.35486741025712
data,C,DE,-3.72506735264816,-5.27300326339904
data,B,BC,-4.92275823348015,-6.60756676693331
data,C,BC,-3.96772840841235,-5.84650792569375
data,D,DE,-3.74147102087,-5.11107212595928
data,C,DE,-4.69742939743072,-6.94580164625687
data,D,DE,-2.51961373745074,-4.30058504763939
data,D,DE,-3.13125407216773,-4.51956165190914
data,D,DE,-3.78984802922015,-5.65461919703712
data,C,DE,-4.17182743224124,-6.24748463565361
data,C,DE,-5.44166496767854,-7.04318698241987
data,C,DE,-3.61131724268605,-5.65232982730272
data,C,BC,-2.11311980480385,-3.65480935864975
data,C,BC,-4.35663774185959,-6.71743452590386
data,C,DE,-2.68663130082597,-4.0146672248332
data,C,BC,-4.95796670557647,-6.69507170304729
data,D,DE,-4.10583778469895,-5.76742750662517
data,D,DE,-3.02835014193348,-4.34584278780905
data,D,DE,-4.17185358430542,-5.94406975783504
data,D,DE,-6.28282079000208,-7.90006259496114
data,D,DE,-1.94201758947967,-4.11156351335809
data,C,DE,-3.60113834560109,-5.80975506109544
data,C,DE,-3.14772279074709,-4.86570050423201
data,B,BC,-5.24317776445177,-6.49206284476769
data,C,DE,-2.34856134102618,-4.00083296254826
data,D,DE,-4.21502025312093,-5.54496537532067
data,C,DE,-5.12905445103811,-7.37401105021809
data,D,DE,-3.90162050814817,-5.50571413203998
data,D,DE,-2.82714561909894,-4.97964431571291
data,D,DE,-3.34576254947713,-5.13709051749531
data,C,BC,-1.39035964126779,-3.40159981354326
data,D,DE,-4.32428671802388,-6.19081441834062
data,C,DE,-4.82958022159501,-6.36580842383814
data,D,DE,-3.16406494806068,-5.0322282743861
data,C,DE,-4.55130893544118,-6.42806028148506
data,D,DE,-0.799840363255063,-2.26244874452892
data,C,BC,-4.15952854737462,-6.46185941975466
data,D,DE,-4.37345977538216,-6.45277169929959
data,D,DE,-4.12723007767955,-5.82092499294645
data,D,DE,-3.10580991328278,-4.92781275627522
data,C,BC,-3.82077788170018,-6.08428534447671
data,C,BC,-2.86017647307051,-4.63762552456571
data,D,DE,-0.489284770312417,-2.02701780887283
data,E,DE,-3.67435546886309,-5.24432618409491
data,D,DE,-4.28201152603135,-5.45625655787943
data,C,BC,-2.63579536454801,-4.90078257719459
data,C,BC,-4.93908164800468,-7.0135573254677
data,C,BC,-3.89674234446309,-6.08725044519468
data,D,DE,-3.52812574696269,-4.80959318545914
data,D,DE,-3.61947004876677,-5.47220068791594
data,D,DE,-3.8573309676087,-5.23859980315237
data,C,DE,-4.15978278536848,-5.85321383372001
data,D,DE,-1.38440839568117,-2.74644221131606
data,C,DE,-4.3690785725043,-6.51228331190909
data,D,DE,-1.92356717711727,-4.50296825158452
data,C,DE,-5.15991736877095,-7.17753277201727
data,D,DE,-5.10082729469631,-7.13290729537729
data,C,DE,-4.18779277135785,-5.73040521742331
