---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: A
    type: numeric
  - name: LnA
    type: numeric
  - name: LnIA
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,A,LnA,LnIA
data,D,0.0235331593173715,-3.74934481762436,-4.15781628776529
data,D,0.050494906845468,-2.98588280233217,-4.18641841379003
data,C,0.107645138393874,-2.22891521741893,-1.58988280199052
data,B,0.0137797429302691,-4.28455566884864,-5.63576720912352
data,C,0.0239630887516817,-3.73124060120196,-4.73580617590277
data,C,0.00375418575631072,-5.58488385980688,-7.72737085968401
data,B,0.0052834406012795,-5.24317776445177,-7.20038731571677
data,C,0.0718265908067144,-2.63350052599151,-1.39410151997694
data,D,0.00641771494759101,-5.04869315180389,-6.43137471302424
data,C,0.199929990436406,-1.60978802153311,-0.701562262334463
data,E,0.0457536682564297,-3.08448331000648,-3.11427595750423
data,D,0.0352333377479618,-3.34576254947713,-3.31701863010012
data,D,0.146480735746273,-1.92086135578392,-0.650884008960937
data,D,0.0102881391143125,-4.57676358958058,-7.53906962525703
data,D,0.0120705610423087,-4.41698576257445,-5.26334888382568
data,C,0.00344562322925584,-5.67065048253133,-9.3597124913247
data,D,0.0377966824992,-3.27553394477956,-3.05742567850464
data,C,0.0169278366694624,-4.07879587189589,-4.45025033515369
data,D,0.019661663523296,-3.92908455322951,-4.42466921848741
data,C,0.0160396446565667,-4.13269183036979,-5.89190772169679
data,D,0.0100169601887817,-4.60347560372582,-6.05374125222601
data,C,0.00990679692835549,-4.61453419899526,-5.98153264814772
data,D,0.993980519671877,-0.00603767043322098,1.5472554201929
data,D,0.049787174364583,-2.99999787100125,-2.58965358826518
data,C,0.0814396289754382,-2.50789328199288,-2.50544070770627
data,D,0.0230529919860087,-3.76995971379807,-3.78343911115387
data,D,0.0182216198649061,-4.0051464852347,-4.17556205696218
data,C,0.111437608226192,-2.19429041217637,-1.07953477662416
data,C,0.068682445903061,-2.67826163055465,-2.30565527828666
data,D,0.0169989603562181,-4.07460309231258,-5.27142379440154
data,D,0.0376643669971054,-3.27904080397592,-3.51273102054578
data,C,0.0177462748282196,-4.03157965391895,-4.80469421504883
data,C,0.0274146920689613,-3.59667620239926,-4.70756958345911
data,C,0.014061280203909,-4.26433034383508,-5.18488223160412
data,D,0.249616369062189,-1.38783006345857,-0.702825877413984
data,D,0.131313776089514,-2.03016558246496,-0.793616127652714
data,D,0.215312469195009,-1.53566496084525,-1.4534323379139
data,E,0.146739917666859,-1.91909352677823,-1.82883969879225
data,B,0.0257200478484665,-3.66048451925416,-3.82608264902716
data,D,0.0468605160486805,-3.06057983340059,-3.24775805741816
data,D,0.0195132078047118,-3.9366637193738,-4.47974926895849
data,D,0.0166688322754174,-4.09421463413808,-4.7400162812464
data,D,0.0382778417344113,-3.26288409501059,-3.56581129693101
data,C,0.0806182752804948,-2.5180299147185,-2.42613963096647
data,C,0.0536406960945281,-2.92544724349909,-3.49658498494354
data,C,0.0129096254961818,-4.34978208336063,-5.62703609691583
data,C,0.0326091166780732,-3.42316337700337,-3.95986398930258
data,C,0.0357078999876083,-3.33238332650886,-3.00282834260229
data,D,0.0320247336897418,-3.44124674693284,-3.21023803776684
data,C,0.00844695200071916,-4.77394961265861,-6.69530603876302
data,D,0.0301846524130739,-3.50042168202039,-4.60706319103858
data,C,0.0189591774615353,-3.96546716592674,-6.09355548992389
data,C,0.0059303334163545,-5.1276748421982,-7.81826925605428
data,D,0.0115451042687099,-4.46149380471279,-5.26825837371968
data,C,0.0928967843577529,-2.37626624777915,-1.43235392933098
data,C,0.015784376861862,-4.14873463435184,-5.10800224035186
data,C,0.0474487084860557,-3.04810597271484,-2.98191027356504
data,C,0.0626950216686929,-2.76947323371895,-2.4880809930046
data,D,0.0301863696585768,-3.50036479229269,-4.91418394322191
data,C,0.0222233131726714,-3.80661339820512,-4.46512012598762
data,D,0.0755306473248533,-2.58321678025986,-2.14138901544061
data,C,0.0081165710272592,-4.81384750128029,-6.58910416792269
data,C,0.0273175050750687,-3.60022757073853,-4.51457082982884
data,D,0.0147348968428473,-4.21753666364174,-5.25475042287045
data,C,0.0133367611684391,-4.31723105894474,-5.06535249154736
data,C,0.00987099357903427,-4.61815476403446,-7.49976234064184
data,D,0.0219563820323421,-3.8186974285396,-4.19879535218921
data,D,0.0486454731597573,-3.02319652381086,-3.68851932802086
data,D,0.0337696694867482,-3.38819223181798,-2.63031421175424
data,C,0.151577693853981,-1.8866569547661,-1.61104362808913
data,B,0.0107742782366704,-4.53059363023171,-6.21031401843951
data,D,0.0215631093068755,-3.83677132687963,-4.94447972070502
