---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: PGAs
    type: numeric
  - name: Da
    type: numeric
  - name: kmax
    type: numeric
  - name: kh
    type: numeric
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
  - name: LnK
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,PGAs,Da,kmax,kh,LnA,LnV,LnK,LnD
data,C,0.148092813985375,250,412.6745,0.282,-1.90991608025375,6.00091052694795,-3.17560864411624,5.52146091786225
data,C,0.148092813985375,400,336.8791,0.23,-1.90991608025375,6.00091052694795,-3.37854367846626,5.99146454710798
data,E,0.0370880994336802,200,36.3491,0.099,-3.29445913080811,3.86397391925526,-5.60509834635363,5.29831736654804
data,E,0.0370880994336802,350,19.7687,0.054,-3.29445913080811,3.86397391925526,-6.21416791191768,5.85793315448346
data,C,0.689160581987135,300,1308.5089,0.192,-0.3722809698306,5.82888997309871,-2.02162426711353,5.7037824746562
data,C,0.689160581987135,350,1142.6643,0.168,-0.3722809698306,5.82888997309871,-2.15714987087303,5.85793315448346
data,C,0.0877808401989368,20,320.1873,0.369,-2.43291202312356,4.59814639896316,-3.42936165367669,2.99573227355399
data,C,0.077877902598437,350,29.8162,0.039,-2.55261303003703,4.49852391821796,-5.80321592077957,5.85793315448346
data,C,0.107645138393874,100,205.873,0.194,-2.22891521741893,4.62574065740047,-3.87100831692396,4.60517018598809
data,C,0.178275115712664,400,253.0822,0.144,-1.72442732799961,5.33669287648711,-3.66455345359758,5.99146454710798
data,C,0.093566845838873,10,429.3548,0.464,-2.36907916936932,4.52693122745665,-3.13598417399568,2.30258509299405
data,C,0.174741292982286,45,556.2591,0.322,-1.74444872467587,5.22088166438203,-2.87703359784472,3.80666248977032
data,B,0.234839581183393,15,1279.5174,0.551,-1.44885263120031,5.79873629961311,-2.0440295361724,2.70805020110221
data,B,0.234839581183393,75,806.2919,0.348,-1.44885263120031,5.79873629961311,-2.50582195499002,4.31748811353631
data,C,0.0438586359026938,100,121.3005,0.28,-3.12678363764582,4.48748329186127,-4.39999685278886,4.60517018598809
data,D,0.235464590248873,20,1205.777,0.518,-1.44619473670824,5.84954782855725,-2.10338833934191,2.99573227355399
data,C,0.155380036324147,175,469.2122,0.306,-1.86188131568368,5.47794400071567,-3.0472126725956,5.16478597392351
data,C,0.155380036324147,400,334.0645,0.218,-1.86188131568368,5.47794400071567,-3.38693370263682,5.99146454710798
data,C,0.335085566959122,5,2266.9655,0.685,-1.09336935601359,5.27583325290171,-1.47207035870043,1.6094379124341
data,C,0.335085566959122,15,1579.0596,0.477,-1.09336935601359,5.27583325290171,-1.83368303179013,2.70805020110221
data,C,0.335085566959122,45,1038.8524,0.314,-1.09336935601359,5.27583325290171,-2.25239586940688,3.80666248977032
data,C,0.335085566959122,300,282.2238,0.085,-1.09336935601359,5.27583325290171,-3.55556741753,5.7037824746562
data,C,0.136071376692951,45,420.1946,0.313,-1.99457570229582,4.85699807966131,-3.15754985343691,3.80666248977032
data,C,0.136071376692951,125,208.0372,0.155,-1.99457570229582,4.85699807966131,-3.86055088087782,4.8283137373023
data,C,0.18427367830647,125,356.0382,0.196,-1.6913332443299,4.94314491157356,-3.32322976227569,4.8283137373023
data,C,0.257764505725462,300,248.0942,0.097,-1.35570887939332,5.07981765529779,-3.68445927798771,5.7037824746562
data,D,0.0179293642690517,75,39.8592,0.225,-4.0213154482652,3.45003059138724,-5.51291454640454,4.31748811353631
data,C,0.131767509873383,15,515.2634,0.396,-2.02671619812662,4.76279534050995,-2.9535895645167,2.70805020110221
data,C,0.0820185868311285,75,246.2038,0.304,-2.50080938873105,4.84869601234514,-3.69210814250466,4.31748811353631
data,C,0.0820185868311285,100,217.8085,0.269,-2.50080938873105,4.84869601234514,-3.81465155437464,4.60517018598809
data,C,0.0820185868311285,125,196.4138,0.242,-2.50080938873105,4.84869601234514,-3.91804413252422,4.8283137373023
data,D,0.160415754793905,150,652.6209,0.412,-1.82998636646604,5.7264782161879,-2.71727138135233,5.01063529409626
data,C,0.0106878524184916,75,25.8596,0.245,-4.53864747043329,3.56952010928712,-5.94558588542193,4.31748811353631
data,D,0.0820871291753041,10,388.7889,0.479,-2.49997404490721,4.13720811277057,-3.23523126794589,2.30258509299405
data,D,0.0820871291753041,15,349.112,0.43,-2.49997404490721,4.13720811277057,-3.34287500311686,2.70805020110221
data,C,0.158114121655135,200,473.0059,0.303,-1.84443821772375,5.76230519412913,-3.03915992875484,5.29831736654804
data,D,0.452565560697958,350,1392.3173,0.311,-0.792822640816701,6.80683995468653,-1.95954303042086,5.85793315448346
data,D,0.257500786078065,75,965.9926,0.38,-1.35673250615266,5.85290875618777,-2.32511161701422,4.31748811353631
data,D,0.176332922157024,30,669.5263,0.384,-1.73538146760738,5.24218502933343,-2.6916973433352,3.40119738166216
data,C,1.25100146817893,5,11982.7926,0.969,0.223944405088346,7.27286957287227,0.192959158938029,1.6094379124341
data,C,0.550714544623891,60,1298.0109,0.239,-0.596538671905958,5.70056562828955,-2.02967949597847,4.0943445622221
data,D,0.0686143253022323,75,132.6035,0.196,-2.67925394240322,4.63833897738345,-4.31090431816504,4.31748811353631
data,D,0.0581744380220326,75,116.5502,0.203,-2.8443092299688,4.3970774219101,-4.4399457092599,4.31748811353631
data,D,0.0581744380220326,350,26.0352,0.045,-2.8443092299688,4.3970774219101,-5.93881832218997,5.85793315448346
data,C,0.199853507504633,100,477.1382,0.242,-1.61017064329264,4.96579322291061,-3.03046161435316,4.60517018598809
data,C,0.199853507504633,175,345.1186,0.175,-1.61017064329264,4.96579322291061,-3.35437966466933,5.16478597392351
data,C,0.199853507504633,200,313.7658,0.159,-1.61017064329264,4.96579322291061,-3.44962094299813,5.29831736654804
data,D,0.049787174364583,300,65.092,0.132,-2.99999787100125,4.44741957370086,-5.02246613694355,5.7037824746562
data,D,0.0341854571189828,10,182.7942,0.541,-3.37595495578878,4.49690128867471,-3.98990686089044,2.30258509299405
data,D,0.0341854571189828,30,139.4567,0.413,-3.37595495578878,4.49690128867471,-4.260513631928,3.40119738166216
data,C,0.0460358683442898,10,208.3108,0.458,-3.0783344397225,4.43875553626259,-3.85923659552334,2.30258509299405
data,C,0.0460358683442898,175,70.2316,0.154,-3.0783344397225,4.43875553626259,-4.94646943854372,5.16478597392351
data,C,0.256710536398211,5,1642.9251,0.648,-1.35980614637586,5.51530906965862,-1.79403426108401,1.6094379124341
data,D,0.0152829254306785,150,45.3204,0.3,-4.18101905868158,4.07590356194827,-5.38451052849573,5.01063529409626
data,D,0.0152829254306785,250,33.6839,0.223,-4.18101905868158,4.07590356194827,-5.68124781234713,5.52146091786225
data,D,0.0307331953421224,5,189.6568,0.625,-3.48241192705041,4.08219818042448,-3.95305166772647,1.6094379124341
data,C,0.61747271824484,10,4640.5541,0.761,-0.48212039243603,6.7018609732881,-0.755678734547938,2.30258509299405
data,C,0.61747271824484,125,3225.5858,0.529,-0.48212039243603,6.7018609732881,-1.11939793459635,4.8283137373023
data,C,0.371034655497429,10,2994.0665,0.817,-0.991459809692959,6.09443457572604,-1.19388001492016,2.30258509299405
data,C,0.516867386102741,75,1508.0517,0.295,-0.659968943948245,5.95045308531271,-1.87969395894206,4.31748811353631
data,C,0.0834588273342952,10,425.7959,0.516,-2.48340185454894,4.71511657967966,-3.14430766726266,2.30258509299405
data,C,0.0340263281175992,60,94.4163,0.281,-3.38062069762523,3.97600137701321,-4.65055406300459,4.0943445622221
data,C,0.0340263281175992,200,38.9489,0.116,-3.38062069762523,3.97600137701321,-5.536017260159,5.29831736654804
data,D,0.272362917132209,400,866.0972,0.322,-1.30061984784972,6.78552463543482,-2.43427064829318,5.99146454710798
data,D,0.707839490718095,10,5290.7552,0.757,-0.345537919015856,6.92033770968288,-0.624551516154411,2.30258509299405
data,D,0.374096859550295,300,594.394,0.161,-0.983240532343052,6.26943384428058,-2.81072539160196,5.7037824746562
data,D,0.330246450458557,60,1135.8908,0.348,-1.1079160836812,6.01312287255581,-2.16309532284185,4.0943445622221
data,D,0.330246450458557,100,955.5504,0.293,-1.1079160836812,6.01312287255581,-2.33598028119993,4.60517018598809
data,D,0.51251417980682,175,2119.574,0.419,-0.668426900436578,7.01208235939883,-1.53929738666391,5.16478597392351
data,B,0.515003975250717,350,865.2861,0.17,-0.663580659414761,7.01804221743497,-2.43520758705115,5.85793315448346
data,D,0.38989130519638,15,1734.9499,0.45,-0.941887283328464,5.4382338043923,-1.73953397485857,2.70805020110221
data,D,0.456762604478462,20,1664.8751,0.369,-0.783591488092826,5.57226832915584,-1.78076240615615,2.99573227355399
data,D,0.321889182600926,125,815.5864,0.256,-1.13354794608538,5.93757306892333,-2.49436042702125,4.8283137373023
data,D,0.321889182600926,200,673.1662,0.212,-1.13354794608538,5.93757306892333,-2.6862755376477,5.29831736654804
data,D,0.160304827568343,25,645.7698,0.408,-1.83067810398515,5.1178912715777,-2.72782469721513,3.2188758248682
data,D,0.160304827568343,125,415.2556,0.262,-1.83067810398515,5.1178912715777,-3.16937355648755,4.8283137373023
data,D,0.0952675178954387,200,164.9008,0.175,-2.35106636697286,4.99539100185928,-4.09292370976302,5.29831736654804
data,D,0.0611086625829598,175,141.7241,0.235,-2.79510164571883,4.78519649165048,-4.24438558087805,5.16478597392351
data,C,0.183789046431964,10,1354.56,0.746,-1.69396666587469,6.43666164446511,-1.98703583340935,2.30258509299405
data,D,0.0310712828812313,150,73.3608,0.239,-3.47147126639962,4.04603504127115,-4.90287805772776,5.01063529409626
data,D,0.138452047019463,75,308.6739,0.226,-1.97723124421291,4.53435806791321,-3.46598241091315,4.31748811353631
data,D,0.138452047019463,100,256.1279,0.187,-1.97723124421291,4.53435806791321,-3.65259086165056,4.60517018598809
data,D,0.123928597614907,250,96.4583,0.079,-2.08804970491462,4.41257807545291,-4.62915700014194,5.52146091786225
data,D,0.0169423308483014,20,74.5906,0.446,-4.07794000487273,3.78512603251567,-4.88625329683347,2.99573227355399
data,D,0.0169423308483014,30,66.9203,0.4,-4.07794000487273,3.78512603251567,-4.99476543166861,3.40119738166216
data,D,0.0169423308483014,200,27.3488,0.163,-4.07794000487273,3.78512603251567,-5.88959513852205,5.29831736654804
data,C,0.0784366070745089,15,450.694,0.582,-2.54546453363148,4.83381966401749,-3.08747917375873,2.70805020110221
data,C,0.0784366070745089,60,331.2782,0.427,-2.54546453363148,4.83381966401749,-3.39530928498954,4.0943445622221
data,C,0.0784366070745089,350,165.5007,0.214,-2.54546453363148,4.83381966401749,-4.08929236632649,5.85793315448346
data,C,0.0636806959528876,75,292.1507,0.464,-2.75387380859732,4.9276006520832,-3.5209980257149,4.31748811353631
data,C,0.0636806959528876,175,214.1807,0.34,-2.75387380859732,4.9276006520832,-3.83144773949551,5.16478597392351
data,D,0.139290511902065,100,372.3688,0.271,-1.97119351320772,5.5554244441877,-3.27838302972959,4.60517018598809
