---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: PGAs
    type: numeric
  - name: Da
    type: numeric
  - name: kmax
    type: numeric
  - name: kh
    type: numeric
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
  - name: LnK
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,PGAs,Da,kmax,kh,LnA,LnV,LnK,LnD
data,D,0.173111178496912,25,692.9077,0.405,-1.75382124062445,5.15410989895275,-2.65737098945565,3.2188758248682
data,D,0.173111178496912,30,643.4315,0.376,-1.75382124062445,5.15410989895275,-2.73145221847829,3.40119738166216
data,C,0.724723648700622,75,2571.8027,0.359,-0.321964870998855,6.4074538012588,-1.34590541905777,4.31748811353631
data,C,0.724723648700622,300,1510.9666,0.211,-0.321964870998855,6.4074538012588,-1.87776293328,5.7037824746562
data,C,0.123668735446844,300,347.9341,0.285,-2.09014877650206,5.72668836565188,-3.34625469671588,5.7037824746562
data,D,0.133682132542725,5,697.3905,0.528,-2.01229044222854,4.15956693890399,-2.65092227861781,1.6094379124341
data,E,0.0516965206722111,20,212.8363,0.417,-2.96236479814224,4.1112837247255,-3.83774446511523,2.99573227355399
data,A,1.00498721508133,350,2068.1713,0.208,0.00497482011801099,6.69420553484524,-1.56384772488841,5.85793315448346
data,D,0.240589916588915,5,1463.5598,0.616,-1.42466138575904,5.13595335937414,-1.90964082449498,1.6094379124341
data,E,0.0641228892155281,175,112.4901,0.178,-2.74695389274988,4.68433687217068,-4.47540257296967,5.16478597392351
data,D,0.164715224371849,45,509.1337,0.313,-1.80353720908303,5.42910197097041,-2.96555713677792,3.80666248977032
data,D,0.164715224371849,200,186.3324,0.114,-1.80353720908303,5.42910197097041,-3.97073561521201,5.29831736654804
data,C,0.29657330649593,75,842.7136,0.288,-1.21546085165635,5.51683925560671,-2.46164062949172,4.31748811353631
data,D,0.0102560892095217,60,30.4975,0.301,-4.57988368056535,3.14371941034013,-5.78062307770116,4.0943445622221
data,D,0.0102560892095217,175,16.6633,0.164,-4.57988368056535,3.14371941034013,-6.38505909438663,5.16478597392351
data,D,0.0102560892095217,300,9.7412,0.096,-4.57988368056535,3.14371941034013,-6.92190347739095,5.7037824746562
data,D,0.0472925950476076,5,272.1667,0.582,-3.05140154864464,4.09256150253855,-3.59185304452554,1.6094379124341
data,C,0.0299520586702737,15,118.8626,0.402,-3.50815721987899,4.10651280043219,-4.42029958656847,2.70805020110221
data,C,0.0299520586702737,60,74.6777,0.252,-3.50815721987899,4.10651280043219,-4.88508627061444,4.0943445622221
data,D,0.0323232676294261,5,216.8684,0.679,-3.43196794804414,4.56613274757501,-3.81897707278052,1.6094379124341
data,D,0.0323232676294261,300,91.2645,0.286,-3.43196794804414,4.56613274757501,-4.68450590679364,5.7037824746562
data,D,0.0325927589257146,250,94.3713,0.293,-3.42366513412463,4.74208608277231,-4.65103078923929,5.52146091786225
data,C,0.166462468212278,125,317.2553,0.193,-1.79298541111415,5.19071193395967,-3.43856097821919,4.8283137373023
data,C,0.166462468212278,350,114.7046,0.07,-1.79298541111415,5.19071193395967,-4.45590766279001,5.85793315448346
data,C,0.212967853005827,20,949.5785,0.451,-1.54661404951829,5.4002954738796,-2.34224958881482,2.99573227355399
data,C,0.353896858943027,250,90.649,0.026,-1.03874976721962,4.80053850618049,-4.6912728850415,5.52146091786225
data,D,0.0682711369818715,300,171.8095,0.255,-2.68426819349594,5.03826806981448,-4.05188148586376,5.7037824746562
data,C,0.0883916621681053,60,384.8304,0.441,-2.42597763315222,5.64314145119494,-3.24546507299186,4.0943445622221
data,C,0.140291131644027,350,477.438,0.344,-1.96403550382147,5.77853286617843,-3.02983348218339,5.85793315448346
data,C,0.404417544359297,45,2462.659,0.616,-0.905307409099079,6.39738699620781,-1.38927085125221,3.80666248977032
data,C,0.493377964765194,5,3315.3498,0.68,-0.706479735865533,5.44697835736297,-1.09194937332684,1.6094379124341
data,C,0.836535666827122,350,2273.886,0.275,-0.17848612129673,6.71785521256593,-1.4690222496142,5.85793315448346
data,D,0.15571986054127,5,995.676,0.647,-1.85969665181394,5.43777630128465,-2.29484588728405,1.6094379124341
data,C,0.241790236332924,25,703.9805,0.295,-1.41968472071958,4.84022851249257,-2.64151713383113,3.2188758248682
data,C,0.241790236332924,60,369.9961,0.155,-1.41968472071958,4.84022851249257,-3.28477532569974,4.0943445622221
data,B,0.0906597780694576,15,379.0515,0.423,-2.40064148141576,4.65287572211823,-3.26059571098586,2.70805020110221
data,B,0.0906597780694576,25,310.6809,0.347,-2.40064148141576,4.65287572211823,-3.45950145032328,3.2188758248682
data,B,0.0906597780694576,175,104.008,0.116,-2.40064148141576,4.65287572211823,-4.55379997148205,5.16478597392351
data,B,0.0534066033360936,15,276.3551,0.524,-2.92982088268172,4.57081470170183,-3.57658115777496,2.70805020110221
data,D,0.0531174129736287,10,374.2032,0.713,-2.93525047655058,4.58969015388538,-3.27346882536179,2.30258509299405
data,C,0.215891465455966,10,993.5968,0.466,-1.53297947232161,4.96056893685586,-2.2969363001798,2.30258509299405
data,C,0.215891465455966,60,497.7302,0.233,-1.53297947232161,4.96056893685586,-2.98820962759434,4.0943445622221
data,C,0.215891465455966,200,188.7175,0.088,-1.53297947232161,4.96056893685586,-3.95801660286886,5.29831736654804
data,D,0.267868198614519,20,947.7139,0.358,-1.31726021565718,5.1935157808355,-2.34421512728458,2.99573227355399
data,D,0.267868198614519,75,472.3872,0.178,-1.31726021565718,5.1935157808355,-3.04046880246743,4.31748811353631
data,D,0.267868198614519,250,109.946,0.042,-1.31726021565718,5.1935157808355,-4.49827845457572,5.52146091786225
data,D,0.0205694065255233,350,25.4779,0.125,-3.88395042719079,3.63775777001722,-5.96045638101688,5.85793315448346
data,D,0.0205694065255233,400,22.1293,0.109,-3.88395042719079,3.63775777001722,-6.101365268449,5.99146454710798
data,C,0.0572678797432686,100,195.5212,0.346,-2.86001537538029,4.61541689711533,-3.92259897729798,4.60517018598809
data,C,0.0572678797432686,125,181.6009,0.321,-2.86001537538029,4.61541689711533,-3.99645636863986,4.8283137373023
data,C,0.0670558668472901,10,442.3821,0.668,-2.70222917349559,5.03990501739366,-3.10609380247352,2.30258509299405
data,C,0.0670558668472901,15,407.6739,0.615,-2.70222917349559,5.03990501739366,-3.18780020062597,2.70805020110221
data,C,0.0670558668472901,60,302.4812,0.457,-2.70222917349559,5.03990501739366,-3.48624866396266,4.0943445622221
data,C,0.0670558668472901,100,266.673,0.403,-2.70222917349559,5.03990501739366,-3.61224460202412,4.60517018598809
data,D,0.0291887545313079,30,100.1399,0.347,-3.53397176267601,3.86961782191986,-4.59169958244257,3.40119738166216
data,D,0.0386787987836104,10,220.4208,0.577,-3.25246366411168,4.32590230529023,-3.80272934405039,2.30258509299405
data,C,0.155803221444218,350,112.3024,0.073,-1.8591614689671,5.10139969246091,-4.47707255789908,5.85793315448346
data,C,0.261920068087219,250,532.5526,0.206,-1.33971590540509,5.99163621304947,-2.92058611869397,5.52146091786225
data,C,0.261920068087219,350,432.6256,0.167,-1.33971590540509,5.99163621304947,-3.12839510190496,5.85793315448346
data,D,0.0234492459292842,30,88.8968,0.384,-3.7529169411406,3.93500413573949,-4.71079164437047,3.40119738166216
data,D,0.0234492459292842,250,28.09,0.121,-3.7529169411406,3.93500413573949,-5.86285414962576,5.52146091786225
data,C,0.385344623275315,20,1798.0863,0.472,-0.953617219689744,5.87924466179693,-1.7037895790869,2.99573227355399
data,C,0.460630839255455,400,552.962,0.122,-0.775158339309215,5.7923145071818,-2.88297850767467,5.99146454710798
data,D,0.018294519055539,15,86.9647,0.481,-4.00115376915719,3.91037894233559,-4.73276550155141,2.70805020110221
data,D,0.018294519055539,25,77.306,0.428,-4.00115376915719,3.91037894233559,-4.85049621849714,3.2188758248682
data,D,0.018294519055539,250,25.5342,0.141,-4.00115376915719,3.91037894233559,-5.95824906068077,5.52146091786225
data,D,0.129680169124516,10,622.2111,0.486,-2.04268409738749,4.73102403681239,-2.76498836651465,2.30258509299405
data,D,0.129680169124516,25,491.6878,0.384,-2.04268409738749,4.73102403681239,-3.000423828509,3.2188758248682
data,D,0.19776702834691,175,225.5281,0.115,-1.62066556556425,4.97826440522578,-3.77982302758922,5.16478597392351
data,D,0.189345372585328,25,895.2269,0.479,-1.66418256335214,5.48101143206253,-2.40119058504464,3.2188758248682
data,D,0.0261507194019014,30,104.1403,0.403,-3.64387857826065,3.99853643578609,-4.55252876227384,3.40119738166216
data,E,0.0142334826034937,25,39.8774,0.284,-4.25215816010576,3.22185354608364,-5.51245804336036,3.2188758248682
data,C,0.0617906767257533,5,354.4635,0.581,-2.78400278794214,4.80722035105733,-3.32766241198887,1.6094379124341
data,C,0.0617906767257533,25,228.2843,0.374,-2.78400278794214,4.80722035105733,-3.76767600873425,3.2188758248682
data,D,0.0765746400535744,5,448.3642,0.593,-2.56948932684797,4.3597306270137,-3.09266194216033,1.6094379124341
data,D,0.192161244325501,5,991.5211,0.522,-1.64942044520566,4.90310633915659,-2.29902756212095,1.6094379124341
data,D,0.192161244325501,250,112.9242,0.059,-1.64942044520566,4.90310633915659,-4.47155099357436,5.52146091786225
data,C,0.0442901790213368,10,201.4766,0.46,-3.11699231902908,4.02154995750922,-3.89259454513093,2.30258509299405
data,C,0.0442901790213368,350,23.4491,0.054,-3.11699231902908,4.02154995750922,-6.04343567611706,5.85793315448346
data,D,0.0763589251580514,300,189.4199,0.251,-2.57231035620517,5.43786666574327,-3.95430154687146,5.7037824746562
data,D,0.0928648003311093,25,456.7591,0.498,-2.37661060344357,5.26660609422678,-3.07411167231062,3.2188758248682
data,D,0.0928648003311093,250,170.9698,0.186,-2.37661060344357,5.26660609422678,-4.05678085802345,5.52146091786225
data,C,0.0945526974067054,45,412.1586,0.441,-2.35859795539296,5.2586120071817,-3.17685956401088,3.80666248977032
data,C,0.0945526974067054,100,307.9105,0.33,-2.35859795539296,5.2586120071817,-3.46845863441176,4.60517018598809
data,B,0.0599630105974966,5,297.7864,0.503,-2.81402739690988,4.32691092038157,-3.50189133976854,1.6094379124341
data,E,0.0783369423796444,75,331.88,0.429,-2.54673598163578,5.21216994975673,-3.39349433294583,4.31748811353631
data,D,0.0980012218197594,75,476.7466,0.492,-2.32277533284072,5.88395527169856,-3.03128267790716,4.31748811353631
data,D,0.0420356339196511,15,181.5886,0.437,-3.16923759375086,3.86180895997702,-3.99652410187557,2.70805020110221
data,D,0.0482760980538815,15,237.2216,0.497,-3.03081870511823,4.67135923142785,-3.72927306536967,2.70805020110221
data,D,0.0368654174188659,20,144.0548,0.396,-3.30048136470036,4.04499831843992,-4.22807400800326,2.99573227355399
data,D,0.415694983386699,300,874.8281,0.213,-0.877803500665743,6.08539191022181,-2.42424038082739,5.7037824746562
data,D,0.0556293342346989,300,56.3529,0.103,-2.8890446227052,4.45993388709626,-5.16663408751647,5.7037824746562
data,D,0.215512282660371,75,913.9861,0.429,-1.53473737495874,5.78785627291975,-2.38045242728087,4.31748811353631
data,D,0.0217702974541381,250,10.4197,0.048,-3.82720874034083,3.78400631828595,-6.8545695456181,5.52146091786225
data,D,0.168180593238555,60,507.0459,0.305,-1.78271691718109,5.31289228831192,-2.96966625870418,4.0943445622221
data,D,0.168180593238555,175,257.8059,0.155,-1.78271691718109,5.31289228831192,-3.6460608145406,5.16478597392351
data,D,0.168180593238555,350,119.3873,0.072,-1.78271691718109,5.31289228831192,-4.41589496059972,5.85793315448346
data,D,0.0169451988625375,30,55.8849,0.334,-4.07777073822701,3.6908383056791,-5.17497357229486,3.40119738166216
data,D,0.0848456608188144,200,223.7511,0.267,-2.46692142804605,5.09480354124871,-3.78773351739792,5.29831736654804
data,D,0.272038622623011,15,1463.9953,0.545,-1.30181122782893,5.52455201494998,-1.90934330660832,2.70805020110221
data,D,0.272038622623011,45,1058.1502,0.394,-1.30181122782893,5.52455201494998,-2.23399022242635,3.80666248977032
data,C,0.197760827881931,75,461.1867,0.236,-1.6206969184254,3.96894822858009,-3.06446484057723,4.31748811353631
data,D,0.024937398705628,45,91.1818,0.37,-3.69138664627001,4.13991165316682,-4.68541247498016,3.80666248977032
data,D,0.106761615401911,15,492.6334,0.467,-2.23715682340713,4.56698022455024,-2.99850250386235,2.70805020110221
data,D,0.106761615401911,25,425.4616,0.403,-2.23715682340713,4.56698022455024,-3.14509309356948,3.2188758248682
data,D,0.11576160063709,100,377.2459,0.33,-2.15622236955089,5.13408487370789,-3.2653705612776,4.60517018598809
data,C,0.115024778145649,30,423.8987,0.373,-2.16260771169145,4.94467693106554,-3.14877327914905,3.40119738166216
data,C,0.115024778145649,45,357.0445,0.314,-2.16260771169145,4.94467693106554,-3.32040736687048,3.80666248977032
data,D,0.0519121654828633,15,259.9222,0.507,-2.95820211391093,4.69017786954874,-3.63788543527408,2.70805020110221
data,D,0.0519121654828633,60,173.7143,0.339,-2.95820211391093,4.69017786954874,-4.04085579503428,4.0943445622221
data,C,0.139256798996994,25,680.7817,0.495,-1.97143557553549,5.20603941095743,-2.67502609398504,3.2188758248682
data,C,0.145184464259014,125,391.1082,0.273,-1.9297501777772,5.09906314007071,-3.22928354269551,4.8283137373023
data,C,0.145184464259014,200,303.1759,0.211,-1.9297501777772,5.09906314007071,-3.48395462562096,5.29831736654804
data,C,0.145184464259014,300,225.6967,0.157,-1.9297501777772,5.09906314007071,-3.77907572820387,5.7037824746562
data,D,0.0159527027882679,300,9.2801,0.059,-4.13812701029706,3.48850301042167,-6.97039546813979,5.7037824746562
data,D,0.0159527027882679,350,6.7704,0.043,-4.13812701029706,3.48850301042167,-7.28570762136816,5.85793315448346
data,D,0.151224211201494,15,787.0882,0.527,-1.88899170106166,5.32938176787152,-2.52992747744772,2.70805020110221
data,D,0.151224211201494,100,527.3938,0.353,-1.88899170106166,5.32938176787152,-2.93032027267491,4.60517018598809
data,B,0.0540668674308938,5,283.7024,0.531,-2.91753371270406,4.0680236640747,-3.55034198932243,1.6094379124341
data,B,0.0540668674308938,30,150.1747,0.281,-2.91753371270406,4.0680236640747,-4.18646850767707,3.40119738166216
data,C,0.039076429043344,125,102.1504,0.265,-3.2422358315367,4.37648856267507,-4.57182155367587,4.8283137373023
data,C,0.039076429043344,350,54.6609,0.142,-3.2422358315367,4.37648856267507,-5.19711914495493,5.85793315448346
data,D,0.287685711805561,30,1451.1105,0.511,-1.24588667317699,5.88268966504534,-1.91818338638103,3.40119738166216
data,D,0.376058271459434,175,1395.083,0.375,-0.978011170314253,6.28601310535461,-1.95755860004851,5.16478597392351
data,D,0.287851603481696,125,611.5732,0.215,-1.24531019732973,5.56634808085723,-2.78223313713697,4.8283137373023
data,D,0.287851603481696,350,425.48,0.15,-1.24531019732973,5.56634808085723,-3.14504984735845,5.85793315448346
data,C,0.157765596110532,250,261.6688,0.168,-1.84664491645387,4.72511668212939,-3.63118820879461,5.52146091786225
data,C,0.193356267929573,200,533.5011,0.279,-1.64322084392351,5.14630674267142,-2.91880665814656,5.29831736654804
data,C,0.0143907681182922,15,73.0879,0.514,-4.24116838089089,3.59352353871452,-4.90660496436302,2.70805020110221
data,C,0.0143907681182922,200,31.7067,0.223,-4.24116838089089,3.59352353871452,-5.74173977572443,5.29831736654804
data,D,0.0185113199236525,350,9.5355,0.052,-3.98937284625985,3.76462523937791,-6.94324611467948,5.85793315448346
data,D,0.19819768319416,20,801.7663,0.409,-1.61849034638686,5.21895730492912,-2.51145062184834,2.99573227355399
data,D,0.19819768319416,100,432.8415,0.221,-1.61849034638686,5.21895730492912,-3.12789618056069,4.60517018598809
data,D,0.19819768319416,150,356.0307,0.182,-1.61849034638686,5.21895730492912,-3.32325082765293,5.01063529409626
data,D,0.277429256567093,150,936.1841,0.342,-1.28218930958591,6.07901177800192,-2.35645564557069,5.01063529409626
data,D,0.277429256567093,200,800.3949,0.292,-1.28218930958591,6.07901177800192,-2.51316255986673,5.29831736654804
data,C,0.0839485544392307,300,302.4381,0.365,-2.47755111491321,5.86336502622397,-3.48639116230938,5.7037824746562
data,C,0.474977169759373,150,1088.9894,0.232,-0.744488539767068,6.30243813866316,-2.20526240155697,5.01063529409626
data,C,0.474977169759373,350,604.6922,0.129,-0.744488539767068,6.30243813866316,-2.7935482225041,5.85793315448346
data,C,0.23024288923612,175,205.4362,0.09,-1.46862048712004,5.70156323915542,-3.87313226729612,5.16478597392351
data,D,0.103241689182608,5,591.585,0.58,-2.2706825425588,4.8982038763795,-2.81546241519629,1.6094379124341
data,E,0.101355644564057,300,97.1868,0.097,-2.28911971386036,4.94123149946212,-4.62163289096665,5.7037824746562
data,D,0.109402335679735,75,542.5601,0.502,-2.21272303931599,5.60299936983211,-2.90196892805319,4.31748811353631
data,D,0.112165338926184,300,309.1031,0.279,-2.18778125584637,5.55425020516211,-3.46459291253734,5.7037824746562
data,D,0.0789210452989744,25,386.3119,0.495,-2.53930735287015,4.93050514358159,-3.24162271647037,3.2188758248682
data,D,0.0789210452989744,350,138.7519,0.178,-2.53930735287015,4.93050514358159,-4.26558034451543,5.85793315448346
data,D,0.0263277810682024,150,57.5313,0.221,-3.63713058292557,4.11555995450365,-5.14593864321606,5.01063529409626
data,D,0.0263277810682024,300,31.8414,0.122,-3.63713058292557,4.11555995450365,-5.73750046088313,5.7037824746562
data,D,0.00696425227481794,60,15.3333,0.223,-4.96696503216973,3.04453174173566,-6.46824085683634,4.0943445622221
data,D,0.00696425227481794,175,4.0957,0.06,-4.96696503216973,3.04453174173566,-7.78833014787455,5.16478597392351
data,D,0.101120792091435,60,353.6767,0.354,-2.29143951543157,5.05420563154648,-3.32988457173567,4.0943445622221
data,D,0.0124499116671906,45,44.8536,0.365,-4.38604175110136,3.47346725357217,-5.39486393789985,3.80666248977032
data,D,0.0124499116671906,60,40.4652,0.329,-4.38604175110136,3.47346725357217,-5.49782544526352,4.0943445622221
data,C,0.704420944775922,30,3992.7831,0.574,-0.350379168594413,6.30257211248143,-0.906024005214185,3.40119738166216
data,C,0.704420944775922,75,3145.222,0.452,-0.350379168594413,6.30257211248143,-1.14462803586331,4.31748811353631
data,C,0.704420944775922,250,2067.8776,0.297,-0.350379168594413,6.30257211248143,-1.56398974448614,5.52146091786225
data,C,0.704420944775922,350,1755.3229,0.252,-0.350379168594413,6.30257211248143,-1.72785968316179,5.85793315448346
data,D,0.0861407268771623,15,411.3305,0.483,-2.45177296106855,4.42392397991649,-3.17887076313697,2.70805020110221
data,D,0.107255929720221,75,221.2493,0.209,-2.23253743393575,4.49121294906663,-3.79897767070069,4.31748811353631
data,D,0.0215954535029661,25,98.1354,0.46,-3.83527247242109,4.13426759952768,-4.61191963299445,3.2188758248682
data,D,0.0391492838579572,25,207.9546,0.538,-3.24037314897426,4.80240480523474,-3.86094800409556,3.2188758248682
data,D,0.0391492838579572,125,143.2239,0.37,-3.24037314897426,4.80240480523474,-4.23385865070019,4.8283137373023
data,C,0.181714378749321,25,933.5536,0.52,-1.70531917215226,5.82871601145684,-2.35926941109035,3.2188758248682
data,C,0.181714378749321,100,653.4108,0.364,-1.70531917215226,5.82871601145684,-2.71606176278593,4.60517018598809
data,C,0.181714378749321,125,613.1051,0.341,-1.70531917215226,5.82871601145684,-2.77973141762588,4.8283137373023
data,C,0.14871921400937,60,680.5454,0.463,-1.90569522061942,5.86917308452616,-2.67537325522553,4.0943445622221
data,C,0.0698095706826466,60,264.2437,0.383,-2.66198416281609,5.24521573450037,-3.62139600733537,4.0943445622221
data,C,0.0698095706826466,100,230.2643,0.334,-2.66198416281609,5.24521573450037,-3.75904001112894,4.60517018598809
data,D,0.00964937372110676,75,29.5577,0.31,-4.64086226510447,3.29961373424009,-5.81192350553754,4.31748811353631
data,C,0.0857375768936402,5,535.8355,0.633,-2.45646407930753,5.01086071932333,-2.91444057976055,1.6094379124341
data,C,0.0857375768936402,150,187.182,0.221,-2.45646407930753,5.01086071932333,-3.96618638516765,5.01063529409626
data,D,0.0983338230990638,25,489.4518,0.504,-2.31938723065438,5.25457538342902,-3.00498180144393,3.2188758248682
data,C,0.0518515163421374,200,82.6422,0.161,-2.95937109994854,4.69060614274399,-4.78374734479407,5.29831736654804
data,D,0.173920463109387,75,584.9337,0.34,-1.74915719284032,5.64524322250332,-2.8267692832661,4.31748811353631
data,D,0.16147165288588,100,663.7758,0.416,-1.82342567565199,6.02694794872768,-2.70032334888469,4.60517018598809
data,D,0.16147165288588,125,630.1209,0.395,-1.82342567565199,6.02694794872768,-2.75235608500579,4.8283137373023
data,C,0.0842576269302742,5,506.295,0.608,-2.47387618648472,5.13948913843748,-2.97114828738266,1.6094379124341
data,C,0.0842576269302742,400,169.4261,0.204,-2.47387618648472,5.13948913843748,-4.06585094719249,5.99146454710798
data,C,0.388014613836384,20,2152.4604,0.561,-0.946712275541392,6.15953037967325,-1.5239009518218,2.99573227355399
data,D,0.0413881679051834,250,66.777,0.163,-3.184760238391,4.37360814041521,-4.99690908086533,5.52146091786225
data,D,0.456235360390944,5,2543.7271,0.564,-0.784746461414597,5.23973627214222,-1.35688214404853,1.6094379124341
data,D,0.456235360390944,20,1527.1098,0.339,-0.784746461414597,5.23973627214222,-1.86713558241093,2.99573227355399
data,D,0.456235360390944,75,756.7641,0.168,-0.784746461414597,5.23973627214222,-2.56921621070445,4.31748811353631
data,C,0.0970385777775946,25,338.0522,0.353,-2.33264667049667,4.51957095957336,-3.37506746931337,3.2188758248682
data,C,0.0868416773652945,125,167.5615,0.195,-2.44366861857482,4.33435134915299,-4.07691734268596,4.8283137373023
data,D,0.0626561451825588,15,299.0861,0.483,-2.77009351493941,4.90695808643385,-3.49753629893749,2.70805020110221
data,D,0.0522191945202182,150,129.8067,0.252,-2.95230514056742,4.71146919823983,-4.33222136993043,5.01063529409626
data,C,0.0960282714085532,15,450.6371,0.475,-2.34311263703,5.21237890088309,-3.08760543146819,2.70805020110221
data,C,0.0730629417797085,75,246.2181,0.341,-2.61643399316819,5.07827677447085,-3.69205006222836,4.31748811353631
data,C,0.0730629417797085,125,201.7305,0.279,-2.61643399316819,5.07827677447085,-3.89133514253827,4.8283137373023
data,C,0.0730629417797085,250,140.5092,0.195,-2.61643399316819,5.07827677447085,-4.25299482368482,5.52146091786225
data,C,0.0732079039315306,25,272.0456,0.376,-2.61445188663729,4.36809636921895,-3.59229809143829,3.2188758248682
data,D,0.0558608267407079,400,71.6198,0.13,-2.88489191834713,4.83512093358167,-4.92689621869158,5.99146454710798
data,D,0.0513147528652574,300,180.3887,0.356,-2.96977698792924,5.37237413586807,-4.0031538236562,5.7037824746562
data,E,0.213699029922158,20,979.5268,0.464,-1.54318665610506,5.5415149933339,-2.3111981928332,2.99573227355399
data,E,0.213699029922158,400,394.0153,0.187,-1.54318665610506,5.5415149933339,-3.22187804971063,5.99146454710798
data,D,0.155863126920397,10,901.779,0.586,-1.85877704840176,5.55338060910404,-2.39389831178588,2.30258509299405
data,C,0.136636882297894,60,519.6271,0.385,-1.9904283661087,5.78742016401089,-2.94515635180129,4.0943445622221
data,D,0.0890725997137957,45,266.4731,0.303,-2.41830351465324,4.78813655252262,-3.61299449031691,3.80666248977032
data,D,0.278265014815186,20,1342.2007,0.488,-1.27918132868241,5.77201896790815,-1.9962019314861,2.99573227355399
data,D,0.19994285149589,300,185.2339,0.094,-1.60972369578682,5.33319665792811,-3.97664843992422,5.7037824746562
data,E,0.0589044254906441,60,182.8908,0.314,-2.83183905548255,4.43827347411386,-3.98937853732099,4.0943445622221
data,E,0.0589044254906441,175,112.7688,0.194,-2.83183905548255,4.43827347411386,-4.47292808568229,5.16478597392351
data,E,0.0589044254906441,400,62.4905,0.107,-2.83183905548255,4.43827347411386,-5.06325324555273,5.99146454710798
data,C,0.195752419889129,30,656.2114,0.339,-1.63090458204649,5.34839456371687,-2.71178479761361,3.40119738166216
data,C,0.450904674011993,350,593.8237,0.133,-0.796499327647429,5.96408893594407,-2.81168531678031,5.85793315448346
data,D,0.0192151778791431,60,48.4755,0.255,-3.95205479770175,3.73666733955029,-5.31720927507124,4.0943445622221
data,D,0.0974482745763041,15,415.742,0.432,-2.32843355891847,4.72080984849213,-3.16820291518715,2.70805020110221
data,D,0.0974482745763041,150,145.1328,0.151,-2.32843355891847,4.72080984849213,-4.22061860539814,5.01063529409626
data,C,0.549072172780017,100,2204.6662,0.406,-0.599525383854329,6.37604217372176,-1.49993639754052,4.60517018598809
data,C,0.279105893264866,100,671.274,0.243,-1.27616402341783,5.82429293442227,-2.68909039136806,4.60517018598809
data,D,0.367222640161263,20,1130.45,0.312,-1.00178696592388,5.23776589848651,-2.16789672821959,2.99573227355399
data,C,0.160069051871945,250,283.4838,0.179,-1.83214998265002,5.23440291089947,-3.55111281206397,5.52146091786225
data,D,0.0376386845577693,75,113.0075,0.304,-3.27972291286265,4.34246300339695,-4.47081360255066,4.31748811353631
data,D,0.0376386845577693,300,49.0067,0.132,-3.27972291286265,4.34246300339695,-5.30631076728475,5.7037824746562
data,D,0.215862044925274,300,124.8211,0.059,-1.53311575624301,5.20391337357147,-4.37138627858457,5.7037824746562
data,D,0.14042023641088,100,543.2254,0.392,-1.9631156637961,6.01845413470792,-2.90074345564955,4.60517018598809
data,D,0.14042023641088,125,512.6009,0.369,-1.9631156637961,6.01845413470792,-2.95877022105851,4.8283137373023
data,D,0.0403815454280281,20,217.8112,0.546,-3.2093823947142,4.92730403972846,-3.81463915824104,2.99573227355399
data,D,0.177912148976892,10,877.5657,0.499,-1.72646539559715,5.38113475813134,-2.42111596640977,2.30258509299405
data,C,0.168541101839812,175,143.4599,0.086,-1.78057563110257,4.93119020110022,-4.23221223710228,5.16478597392351
data,C,0.168541101839812,250,86.6507,0.052,-1.78057563110257,4.93119020110022,-4.7363826961363,5.52146091786225
data,D,0.0597553158486043,15,289.89,0.491,-2.81749712395047,4.81333071139592,-3.52876625006259,2.70805020110221
data,D,0.0597553158486043,300,117.4538,0.199,-2.81749712395047,4.81333071139592,-4.4322227259671,5.7037824746562
data,D,0.142863394616879,60,470.7027,0.333,-1.9458663876947,5.71178769209441,-3.0440411062136,4.0943445622221
data,D,0.136824776144126,400,248.5013,0.184,-1.98905417802785,5.60867811836275,-3.68281971383058,5.99146454710798
data,D,0.0538739267982692,5,272.9782,0.513,-2.92110865097438,3.71729291273874,-3.58887585222527,1.6094379124341
data,D,0.0538739267982692,25,156.3851,0.294,-2.92110865097438,3.71729291273874,-4.14594623571124,3.2188758248682
data,D,0.0830032055731727,25,261.4446,0.319,-2.4888760505678,4.31500960529739,-3.63204538436582,3.2188758248682
data,D,0.0830032055731727,150,44.4613,0.054,-2.4888760505678,4.31500960529739,-5.40364864286726,5.01063529409626
data,D,0.0311585348494378,5,181.8085,0.591,-3.46866707932135,4.26633731081379,-3.99531385541603,1.6094379124341
data,D,0.0311585348494378,200,75.6289,0.246,-3.46866707932135,4.26633731081379,-4.87242930547267,5.29831736654804
data,C,0.121206572678325,15,578.1859,0.483,-2.11025897679813,5.27882496657871,-2.83837234748261,2.70805020110221
data,D,0.209009492886411,300,432.9015,0.21,-1.56537560753966,5.85128666071909,-3.12775757129652,5.7037824746562
data,D,0.3355599379307,5,2643.0374,0.797,-1.09195468597635,6.69929337792241,-1.31858372565129,1.6094379124341
data,C,0.216919874199241,250,347.6786,0.162,-1.52822723695025,5.4995760992589,-3.34698930093311,5.52146091786225
data,D,0.142042724485162,100,464.949,0.331,-1.95162738997911,5.49100795706392,-3.05634006858892,4.60517018598809
data,D,0.111839801624688,5,804.6576,0.728,-2.19068777424027,4.69301014253635,-2.50785094542166,1.6094379124341
