---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnVRMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnVRMS
data,D,DE,-5.2784523287559,-8.20558719114782
data,C,BC,-5.26319976040712,-8.07944224816908
data,C,BC,-6.62221104975601,-9.59351948621222
data,CD,DE,-7.97328804821543,-10.1572670498255
data,CD,DE,-7.54171873556822,-10.2090989238835
data,C,BC,-8.14239310565056,-8.02565922260016
data,C,BC,-4.64075543032063,-6.50600561594977
data,D,DE,-2.53778038507993,-3.93004433413421
data,D,DE,-3.08835450808897,-5.31146285034927
data,D,DE,-4.81125188822753,-7.50602370920697
data,C,DE,-4.69079381583255,-6.867608914155
data,D,DE,-4.07406831797718,-6.23376816905813
data,D,DE,-4.34385842414755,-4.65521655054627
data,D,DE,-2.11626103176837,-3.2528661412251
data,D,DE,-1.84083455815122,-2.80669797807616
data,C,DE,-5.00524500989544,-7.00052709584456
data,D,DE,-3.82148321814297,-5.06869147635825
data,D,DE,-5.28394028495946,-6.57544128588186
data,B,BC,-4.92275823348015,-6.17621365244367
data,D,DE,-2.20039728663995,-2.72509347671749
data,D,DE,-3.88795826595775,-6.68780488409748
data,C,DE,-5.00716844477989,-5.91370369332014
data,C,BC,-3.19734428183019,-4.85174570191216
data,C,DE,-4.49525729321648,-5.6646650981382
data,D,DE,-3.85205223272279,-5.2217643428605
data,C,BC,-4.33769819638854,-7.33748994163721
data,D,DE,-3.22063363102628,-4.27816994154571
data,C,DE,-3.66776635304996,-6.90037271609069
data,C,DE,-4.83520949910682,-6.59397805738429
data,E,DE,-3.77931592179187,-5.89472278977021
data,D,DE,-3.70532205291839,-4.79464581697986
data,C,DE,-2.98416221262429,-4.46956442499832
data,C,BC,-3.78856921580574,-4.82204880641652
data,D,DE,-3.42698130982151,-5.41834656900593
data,E,DE,-4.24293098191221,-5.06151469750617
data,C,DE,-3.14772279074709,-5.46631834344022
data,D,DE,-3.71105792926729,-4.75551226290629
data,B,BC,-4.12205180379415,-5.90807009580173
data,D,DE,-4.22442516608179,-5.21712495901959
data,C,BC,-2.17031475730842,-4.41225059898787
data,C,DE,-2.31912129720962,-2.84113962346324
data,D,DE,-4.15685516435426,-6.1952839849194
data,D,DE,-1.77427393362412,-1.94292015496902
data,C,DE,-2.7606596007616,-5.10268676755403
data,C,DE,-4.75716855235889,-6.47686553252982
data,D,DE,-3.83392255631585,-5.09122270426631
data,C,BC,-4.20767899142126,-4.75599149839229
data,C,BC,-2.99086483484615,-5.10246907416956
data,C,BC,-4.15952854737462,-5.6294373751536
data,C,BC,-2.50789328199288,-4.31410922851747
data,C,DE,-2.27868133529695,-4.38964718682829
data,C,DE,-4.4829574560708,-4.73078557231719
data,C,BC,-3.82077788170018,-5.7750438395048
data,C,BC,-2.25557543174485,-4.55212294596043
data,B,BC,-3.90826466725488,-6.275127731306
data,D,DE,-3.05563372480909,-4.22781037308442
data,E,DE,-5.24801874883691,-6.21091638189174
