---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnD
data,C,BC,-8.84299966564537,-10.6868940557239
data,D,DE,-7.35334282527724,-10.616102288016
data,CD,DE,-7.31644542886707,-9.20600593901957
data,CD,DE,-6.69053290789769,-9.73872626484343
data,D,DE,-6.89138634600627,-10.177578841711
data,CD,DE,-4.83480112650537,-8.78001740517861
data,D,DE,-7.7693927226592,-10.824668976756
data,D,DE,-3.14742719003615,-5.63639788323086
data,D,DE,-5.40162993557916,-6.30408010971308
data,D,DE,-5.62766097102474,-9.43368846359482
data,D,DE,-4.4034779650477,-7.53057266283035
data,D,DE,-4.49911602521265,-5.59222963447349
data,D,DE,-4.13725661538836,-5.53040510080827
data,D,DE,-3.32912877627172,-4.28615257362083
data,C,DE,-3.80995042983299,-8.05823696333695
data,D,DE,-2.20039728663995,-2.51219966932862
data,C,DE,-4.15600803368952,-6.85441139515649
data,C,BC,-2.79874066717296,-4.58894849828677
data,C,BC,-3.80601853413027,-7.0011154502896
data,C,BC,-4.99886632381426,-5.94459388249345
data,C,BC,-0.992263032495228,-2.10843400039369
data,C,BC,-1.97445438772321,-2.45387295994766
data,D,DE,-2.97764422010213,-4.37491303220409
data,C,BC,-1.90991608025375,-1.46830244184549
data,D,DE,-2.47272939736566,-3.57315555965105
data,C,DE,-2.43291202312356,-4.16498077891054
data,D,DE,-4.10583778469895,-5.85348887933164
data,B,BC,-4.28455566884864,-6.16894584409759
data,E,DE,-4.00464336974987,-4.99712934854348
data,C,DE,-3.46280549199003,-4.98628322838173
data,C,DE,-3.81520088207306,-6.24294151921549
data,C,BC,-3.04815195638084,-4.35407462431739
data,C,DE,-3.33372415092346,-4.31303731440048
data,C,DE,-2.26944045351721,-6.88982891816391
data,C,BC,-4.17397275302545,-6.15133311146455
data,D,DE,-3.99797306912613,-5.53666489586005
data,C,DE,-2.23627487726379,-4.97261596483016
data,C,BC,-3.69877204089941,-5.10382628079871
data,C,BC,-4.07879587189589,-3.91612921816004
data,D,DE,-4.26336763925811,-6.2638747420797
data,D,DE,-2.49997404490721,-4.25484500062866
data,C,DE,-1.42486285382006,-2.89776672147017
data,D,DE,-4.51063745088849,-4.39873335350708
data,C,DE,-3.45728849430148,-3.89484000113177
data,C,DE,-3.0991429759496,-3.75611310355734
data,D,DE,-2.70473883145953,-3.47840402543568
data,D,DE,-4.36613761972706,-7.56320312629556
data,C,BC,-5.82818136971641,-9.46238263949596
data,C,BC,-4.24296259625864,-5.07995828135209
data,C,BC,-3.48349282134529,-5.34357692253338
data,E,DE,-2.82449439709607,-5.9164530882477
data,C,BC,-3.44119625689456,-5.4680225184854
data,D,DE,-4.38491460052853,-7.46770326544414
data,D,DE,-4.07460309231258,-5.01614336867828
data,B,BC,-4.07114777592096,-7.12417707953475
data,D,DE,-3.27904080397592,-4.27142859732287
data,D,DE,-2.41016203561001,-4.26829210374233
data,C,BC,-3.97374032032333,-5.57678299157906
data,C,BC,-3.7909159138401,-5.77827137483962
data,D,DE,-2.79510164571883,-3.12909587890871
data,C,BC,-3.9647536093688,-5.79035691596203
data,C,BC,-3.77848772677533,-6.61521229914745
data,D,DE,-2.08804970491462,-4.5577834954025
data,D,DE,-3.40791683347274,-6.07015517131575
data,D,DE,-4.43448805481034,-6.92644614027101
data,C,BC,-4.53896918585305,-6.76287169806768
data,D,DE,-1.02726649815431,-1.14789517274455
data,C,DE,-3.54942978196994,-7.37502321565855
data,C,BC,-4.11858447295842,-5.96590557240604
data,B,BC,-3.21240200392888,-3.75089706141053
data,C,DE,-3.98580933726826,-4.64985804850857
data,C,DE,-4.93567328658808,-6.70294632417323
data,C,DE,-3.79587752592312,-7.24200914511574
data,D,DE,-3.5568872931086,-5.50289860543592
data,C,BC,-3.2782575578655,-5.33775322380625
data,C,DE,-4.11152797931471,-7.83712374993595
data,C,DE,-4.91174630517006,-8.52078992836364
data,C,DE,-3.13019786700174,-3.47892789972988
data,C,BC,-3.33238332650886,-4.7623198501829
data,D,DE,-2.26759943382586,-4.43433545990665
data,C,DE,-4.1975058543651,-4.46078624744956
data,D,DE,-3.68157504352494,-3.57565440240017
data,C,BC,-4.67430953632598,-8.17797843400063
data,C,BC,-2.37626624777915,-3.11123574560819
data,C,DE,-3.62097423014607,-4.75153624913477
data,C,BC,-3.85552974515136,-4.74300114296131
data,B,BC,-3.90264860587369,-3.98642618565435
data,D,DE,-4.09321527489947,-6.96597130759592
data,E,DE,-4.60275933898645,-5.2466011017584
data,C,BC,-3.66724107197199,-5.3326066284293
data,D,DE,-4.30482628007982,-4.13030477684484
data,C,BC,-3.45565256648494,-6.15863401177803
data,C,BC,-3.76290120407044,-7.58236385870876
data,C,DE,-5.77987401417248,-6.57334531512304
data,D,DE,-5.27630234032954,-6.02333859203636
data,C,BC,-4.24440929272098,-6.02303689242037
data,C,DE,-4.75496126621219,-5.3588367353161
data,D,DE,-2.68312283126508,-3.36513386938153
data,D,DE,-4.11489289254247,-4.53651540649449
data,D,DE,-2.20148894073879,-2.52834647288056
